  Index  name            key                      s       l          spin.x          spin.y          spin.z
      1  IP              Marker               0.000   0.000   -0.0000044677    0.0000026796    1.0000000000
   1408  PIRL            Marker               4.000   0.000    0.0140150097   -0.0009219827    0.9999013599
   1409  LTL001          Drift                4.100   0.100    0.0140150097   -0.0009219827    0.9999013599
   1410  QKALE           Quadrupole           4.444   0.344    0.0140150096   -0.0009219836    0.9999013599
   1411  LTL002          Drift                5.248   0.804    0.0140150096   -0.0009219836    0.9999013599
   1412  ZHQLC2LE        Sbend                5.593   0.344    0.0140150096   -0.0009219836    0.9999013599
   1413  LTL003          Drift                5.675   0.083    0.0140150096   -0.0009219836    0.9999013599
   1414  MQLC2LE         Monitor              5.675   0.000    0.0140150096   -0.0009219836    0.9999013599
   1415  LTL004          Drift                5.856   0.181    0.0140150096   -0.0009219836    0.9999013599
   1416  QLC2LE          Quadrupole           6.395   0.538    0.0140151103   -0.0009219886    0.9999013584
   1417  LTL005          Drift                6.655   0.261    0.0140151103   -0.0009219886    0.9999013584
   1418  QKBLE           Quadrupole           7.000   0.344    0.0140151103   -0.0009219878    0.9999013584
   1419  LTL006          Drift                7.504   0.504    0.0140151103   -0.0009219878    0.9999013584
   1420  BLC1LE          Sbend               11.107   3.603    0.1077952750   -0.0009219878    0.9941726855
   1421  LTL007          Drift               11.617   0.510    0.1077952750   -0.0009219878    0.9941726855
   1422  QKCLE           Quadrupole          11.961   0.344    0.1077952750   -0.0009219878    0.9941726855
   1423  LTL008          Drift               12.200   0.239    0.1077952750   -0.0009219878    0.9941726855
   1424  QLC3LE          Quadrupole          12.771   0.570    0.1077948354   -0.0009219791    0.9941727332
   1425  LTL009          Drift               12.936   0.165    0.1077948354   -0.0009219791    0.9941727332
   1426  MQLC3LE         Monitor             12.936   0.000    0.1077948354   -0.0009219791    0.9941727332
   1427  LTL010          Drift               14.324   1.388    0.1077948354   -0.0009219791    0.9941727332
   1428  BC1LE           Sbend               14.685   0.361    0.1077948354    0.0072246048    0.9941469099
   1429  LTL011          Drift               15.047   0.362    0.1077948354    0.0072246048    0.9941469099
   1430  ZVF1LE          Sbend               15.297   0.250    0.1077948354    0.0072246048    0.9941469099
   1431  LTL012          Drift               15.547   0.250    0.1077948354    0.0072246048    0.9941469099
   1432  ZHF1LE          Sbend               15.797   0.250    0.1077948354    0.0072246048    0.9941469099
   1433  LTL013          Drift               16.826   1.029    0.1077948354    0.0072246048    0.9941469099
   1434  PMD01H5         Ecollimator         16.826   0.000    0.1077948354    0.0072246048    0.9941469099
   1435  LTL014          Drift               17.693   0.867    0.1077948354    0.0072246048    0.9941469099
   1436  BC2LE           Sbend               18.054   0.361    0.1077948354   -0.0018405377    0.9941714570
   1437  LTL015          Drift               18.291   0.237    0.1077948354   -0.0018405377    0.9941714570
   1438  QLC4LE          Quadrupole          18.861   0.570    0.1077949493   -0.0018405207    0.9941714447
   1439  LTL016          Drift               19.026   0.165    0.1077949493   -0.0018405207    0.9941714447
   1440  MQLC4LE         Monitor             19.026   0.000    0.1077949493   -0.0018405207    0.9941714447
   1441  LTL017          Drift               19.109   0.083    0.1077949493   -0.0018405207    0.9941714447
   1442  ZHQLC4LE        Sbend               19.453   0.344    0.1077949493   -0.0018405207    0.9941714447
   1443  LTL018          Drift               20.197   0.744    0.1077949493   -0.0018405207    0.9941714447
   1444  ZVF2LE          Sbend               20.447   0.250    0.1077949493   -0.0018405207    0.9941714447
   1445  LTL019          Drift               20.697   0.250    0.1077949493   -0.0018405207    0.9941714447
