  Index  name            key                      s       l              spin.x              spin.y              spin.z
   5710  L6E             Drift             2806.788   0.687  0.5321345745387720 -0.0008292490486177 -0.8466593806994948
   5711  MQD5E3          Monitor           2806.788   0.000  0.5321345745387720 -0.0008292490486177 -0.8466593806994948
   5712  LPQAE           Drift             2806.975   0.187  0.5321345745387720 -0.0008292490486177 -0.8466593806994948
   5713  QD5ELA          Quadrupole        2807.801   0.826  0.5321406320036430 -0.0008290719323387 -0.8466555736605592
   5714  LX119E          Drift             2807.915   0.115  0.5321406320036430 -0.0008290719323387 -0.8466555736605592
   5715  ZVQD5E3         Sbend             2808.260   0.344  0.5321406320036430 -0.0008290719323387 -0.8466555736605592
   5716  LARC81          Drift             2812.539   4.279  0.5321406320036430 -0.0008290719323387 -0.8466555736605592
   5717  MQEAE3          Monitor           2812.539   0.000  0.5321406320036430 -0.0008290719323387 -0.8466555736605592
   5718  LPQAE           Drift             2812.726   0.187  0.5321406320036430 -0.0008290719323387 -0.8466555736605592
   5719  QEAELA          Quadrupole        2813.552   0.826  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5720  LX119E          Drift             2813.667   0.115  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5721  ZHQEAE3         Sbend             2814.011   0.344  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5722  L8EE            Drift             2816.640   2.628  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5723  SF4TLEA         Sad_Mult          2816.974   0.334  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5724  LX4QBE          Drift             2817.160   0.186  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5725  MQF4E2          Monitor           2817.160   0.000  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5726  LPQBE           Drift             2817.352   0.192  0.5321282363578609 -0.0008291373868573 -0.8466633643909853
   5727  QF4ELA          Quadrupole        2818.367   1.015  0.5321242666210347 -0.0008291691540422 -0.8466658593279500
   5728  LX125E          Drift             2818.487   0.120  0.5321242666210347 -0.0008291691540422 -0.8466658593279500
   5729  ZHQF4E2         Sbend             2818.832   0.344  0.5321242666210347 -0.0008291691540422 -0.8466658593279500
   5730  LX222E          Drift             2819.053   0.222  0.5321242666210347 -0.0008291691540422 -0.8466658593279500
   5731  SKBTLE          Sad_Mult          2819.398   0.344  0.5321242666210348 -0.0008291691540422 -0.8466658593279500
   5732  LARC53          Drift             2819.999   0.601  0.5321242666210348 -0.0008291691540422 -0.8466658593279500
   5733  LTL125          Drift             2820.499   0.500  0.5321242666210348 -0.0008291691540422 -0.8466658593279500
   5734  ZVQD3E2         Sbend             2820.844   0.344  0.5321242666210348 -0.0008291691540422 -0.8466658593279500
   5735  LX119E          Drift             2820.958   0.115  0.5321242666210348 -0.0008291691540422 -0.8466658593279500
   5736  QD3ELA          Quadrupole        2821.785   0.826  0.5321298958344082 -0.0008290632917092 -0.8466623214796537
   5737  LPQAE           Drift             2821.971   0.187  0.5321298958344082 -0.0008290632917092 -0.8466623214796537
   5738  MQD3E2          Monitor           2821.971   0.000  0.5321298958344082 -0.0008290632917092 -0.8466623214796537
   5739  LX7QAE          Drift             2822.165   0.194  0.5321298958344082 -0.0008290632917092 -0.8466623214796537
   5740  SD3TLEA         Sad_Mult          2823.195   1.030  0.5321298963018574 -0.0008290632742787 -0.8466623211858774
   5741  LARC3           Drift             2825.111   1.916  0.5321298963018574 -0.0008290632742787 -0.8466623211858774
   5742  B2E             Sbend             2831.014   5.902 -0.3196104320551754 -0.0008290625951291 -0.9475486712442338
   5743  LARC2           Drift             2831.693   0.679 -0.3196104320551754 -0.0008290625951291 -0.9475486712442338
   5744  QF2E            Quadrupole        2832.250   0.557 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5745  LPQSE           Drift             2832.421   0.172 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5746  MQF2E2          Monitor           2832.421   0.000 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5747  LX0QSE          Drift             2832.504   0.083 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5748  ZHQF2E2         Sbend             2832.849   0.344 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5749  LARC11          Drift             2836.161   3.313 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5750  MQD1E1          Monitor           2836.161   0.000 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5751  LPQBE           Drift             2836.353   0.192 -0.3196175652907534 -0.0008290631161870 -0.9475462651564599
   5752  QD1E            Quadrupole        2837.369   1.015 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5753  LTL122#2        Drift             2837.429   0.060 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5754  PQD1C_INVERSE   Marker            2837.429   0.000 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5755  LTL122#1        Drift             2837.489   0.060 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5756  ZVQD1E1         Sbend             2837.833   0.344 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5757  LTL121          Drift             2840.874   3.040 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5758  ZHQF2E1         Sbend             2841.218   0.344 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5759  LTL120          Drift             2841.301   0.083 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5760  MQF2E1          Monitor           2841.301   0.000 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5761  LTL119          Drift             2841.472   0.172 -0.3196115319455916 -0.0008291388678105 -0.9475483001811180
   5762  QF2E            Quadrupole        2842.029   0.557 -0.3196184922808176 -0.0008290894940299 -0.9475459524491379
   5763  LTL118          Drift             2842.709   0.679 -0.3196184922808176 -0.0008290894940299 -0.9475459524491379
   5764  B2E             Sbend             2848.611   5.902 -0.9362354837347906 -0.0008290912437383 -0.3513722123384093
   5765  LTL117          Drift             2850.527   1.916 -0.9362354837347906 -0.0008290912437383 -0.3513722123384093
   5766  SD3TLEA         Sad_Mult          2851.557   1.030 -0.9362354835533269 -0.0008290912507329 -0.3513722128219050
   5767  LTL116          Drift             2851.751   0.194 -0.9362354835533269 -0.0008290912507329 -0.3513722128219050
   5768  MQD3E1          Monitor           2851.751   0.000 -0.9362354835533269 -0.0008290912507329 -0.3513722128219050
   5769  LTL115          Drift             2851.938   0.187 -0.9362354835533269 -0.0008290912507329 -0.3513722128219050
   5770  QD3E            Quadrupole        2852.764   0.826 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5771  LTL114          Drift             2852.879   0.115 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5772  ZVQD3E1         Sbend             2853.223   0.344 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5773  LTL113          Drift             2853.473   0.250 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5774  LZVF            Drift             2853.723   0.250 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5775  LTL112          Drift             2854.890   1.167 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5776  ZHQF4E1         Sbend             2855.235   0.344 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5777  LTL111          Drift             2855.355   0.120 -0.9362332497806093 -0.0008291323932872 -0.3513781645815648
   5778  QF4E            Quadrupole        2856.370   1.015 -0.9362340394613727 -0.0008291272882635 -0.3513760605132005
   5779  PTSULM          Marker            2856.370   0.000 -0.9362340394613727 -0.0008291272882635 -0.3513760605132005
   5780  LTL110          Drift             2856.563   0.192 -0.9362340394613727 -0.0008291272882635 -0.3513760605132005
   5781  MQF4E1          Monitor           2856.563   0.000 -0.9362340394613727 -0.0008291272882635 -0.3513760605132005
   5782  LTL109          Drift             2860.170   3.607 -0.9362340394613727 -0.0008291272882635 -0.3513760605132005
   5783  QLA10LE         Quadrupole        2860.996   0.826 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5784  LTL108          Drift             2861.183   0.187 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5785  MQLA10LE        Monitor           2861.183   0.000 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5786  LTL107          Drift             2861.266   0.083 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5787  ZHQLA10LE       Sbend             2861.610   0.344 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5788  LTL106          Drift             2864.220   2.610 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5789  ZVQLA9LE        Sbend             2864.565   0.344 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5790  LTL105          Drift             2864.647   0.083 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5791  MQLA9LE         Monitor           2864.647   0.000 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5792  LTL104          Drift             2864.834   0.187 -0.9362403924740635 -0.0008291189606698 -0.3513591326004722
   5793  QLA9LE          Quadrupole        2865.661   0.826 -0.9362373144220079 -0.0008291137221600 -0.3513673343586421
   5794  LTL103          Drift             2865.847   0.187 -0.9362373144220079 -0.0008291137221600 -0.3513673343586421
   5795  LTL102          Drift             2866.534   0.687 -0.9362373144220079 -0.0008291137221600 -0.3513673343586421
   5796  BLA4LE          Sbend             2872.436   5.902 -0.7671993908133071 -0.0008291122693476  0.6414081440927697
   5797  LTL101          Drift             2873.159   0.723 -0.7671993908133071 -0.0008291122693476  0.6414081440927697
   5798  MQLA8LE         Monitor           2873.159   0.000 -0.7671993908133071 -0.0008291122693476  0.6414081440927697
   5799  LTL100          Drift             2873.324   0.165 -0.7671993908133071 -0.0008291122693476  0.6414081440927697
   5800  QLA8LE          Quadrupole        2873.894   0.570 -0.7671911288092840 -0.0008290538169487  0.6414180263651010
   5801  LTL099          Drift             2874.782   0.888 -0.7671911288092840 -0.0008290538169487  0.6414180263651010
   5802  BLA4LE          Sbend             2880.684   5.902  0.1799276922004467 -0.0008290523157024  0.9836794895959127
   5803  LTL098          Drift             2881.371   0.687  0.1799276922004467 -0.0008290523157024  0.9836794895959127
   5804  LTL097          Drift             2881.558   0.187  0.1799276922004467 -0.0008290523157024  0.9836794895959127
   5805  QLA7LE          Quadrupole        2882.384   0.826  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5806  LTL096          Drift             2882.571   0.187  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5807  MQLA7LE         Monitor           2882.571   0.000  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5808  LTL095          Drift             2882.654   0.083  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5809  ZVQLA7LE        Sbend             2882.998   0.344  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5810  LTL094          Drift             2886.256   3.258  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5811  ZHQLA6LE        Sbend             2886.600   0.344  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5812  LTL093          Drift             2886.683   0.083  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5813  MQLA6LE         Monitor           2886.683   0.000  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5814  LTL092          Drift             2886.870   0.187  0.1799277544132346 -0.0008292372207474  0.9836794780605310
   5815  QLA6LE          Quadrupole        2887.696   0.826  0.1799263072221259 -0.0008290663470345  0.9836797429135142
   5816  LTL091          Drift             2896.789   9.093  0.1799263072221259 -0.0008290663470345  0.9836797429135142
   5817  ZVQLA5LE        Sbend             2897.133   0.344  0.1799263072221259 -0.0008290663470345  0.9836797429135142
   5818  LTL090          Drift             2897.216   0.083  0.1799263072221259 -0.0008290663470345  0.9836797429135142
   5819  MQLA5LE         Monitor           2897.216   0.000  0.1799263072221259 -0.0008290663470345  0.9836797429135142
   5820  LTL089          Drift             2897.403   0.187  0.1799263072221259 -0.0008290663470345  0.9836797429135142
   5821  QLA5LE          Quadrupole        2898.229   0.826  0.1799272663549855 -0.0008293415380446  0.9836795672446548
   5822  LTL088          Drift             2899.509   1.280  0.1799272663549855 -0.0008293415380446  0.9836795672446548
   5823  BLA2LE          Sbend             2905.411   5.902  0.4874500342399413 -0.0008293404379943  0.8731504889272605
   5824  LTL087          Drift             2906.118   0.707  0.4874500342399413 -0.0008293404379943  0.8731504889272605
   5825  QLA4LE          Quadrupole        2906.675   0.557  0.4874489231005940 -0.0008292467277746  0.8731511093264052
   5826  LTL086          Drift             2906.847   0.172  0.4874489231005940 -0.0008292467277746  0.8731511093264052
   5827  MQLA4LE         Monitor           2906.847   0.000  0.4874489231005940 -0.0008292467277746  0.8731511093264052
   5828  LTL085          Drift             2909.961   3.114  0.4874489231005940 -0.0008292467277746  0.8731511093264052
   5829  ZVF4LE          Sbend             2910.211   0.250  0.4874489231005940 -0.0008292467277746  0.8731511093264052
   5830  LTL124          Drift             2910.687   0.477  0.4874489231005940 -0.0008292467277746  0.8731511093264052
   5831  ZVQLA3LE        Sbend             2911.032   0.344  0.4874489231005940 -0.0008292467277746  0.8731511093264052
