  Index  name            key                      s       l              spin.x              spin.y              spin.z
   5761  LTR119          Drift             2849.048   1.916 -0.3958321971746792  0.0011478345866905 -0.9183221407303672
   5762  SD3TREA         Sad_Mult          2850.078   1.030 -0.3958321971746792  0.0011478345866905 -0.9183221407303672
   5763  LTR118          Drift             2850.272   0.194 -0.3958321971746792  0.0011478345866905 -0.9183221407303672
   5764  MQD3E40         Monitor           2850.272   0.000 -0.3958321971746792  0.0011478345866905 -0.9183221407303672
   5765  LTR117          Drift             2850.459   0.187 -0.3958321971746792  0.0011478345866905 -0.9183221407303672
   5766  QD3ERA          Quadrupole        2851.285   0.826 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5767  LTR116          Drift             2851.400   0.115 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5768  ZVQD3E40        Sbend             2851.744   0.344 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5769  LTR115          Drift             2851.994   0.250 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5770  LZVF            Drift             2852.244   0.250 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5771  LTR114          Drift             2853.412   1.167 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5772  ZHQF4E40        Sbend             2853.756   0.344 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5773  LTR113          Drift             2853.876   0.120 -0.3958321160139182  0.0011477554806577 -0.9183221758126487
   5774  QF4ERA          Quadrupole        2854.892   1.015 -0.3958321806333823  0.0011477759423419 -0.9183221479336019
   5775  PTSURM          Marker            2854.892   0.000 -0.3958321806333823  0.0011477759423419 -0.9183221479336019
   5776  LTR112          Drift             2855.084   0.192 -0.3958321806333823  0.0011477759423419 -0.9183221479336019
   5777  MQF4E40         Monitor           2855.084   0.000 -0.3958321806333823  0.0011477759423419 -0.9183221479336019
   5778  LTR111          Drift             2858.691   3.607 -0.3958321806333823  0.0011477759423419 -0.9183221479336019
   5779  QLA10REA        Quadrupole        2859.518   0.826 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5780  LTR110          Drift             2859.705   0.187 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5781  MQLA10RE        Monitor           2859.705   0.000 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5782  LTR109          Drift             2859.787   0.083 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5783  ZHQLA10RE       Sbend             2860.132   0.344 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5784  LTR108          Drift             2863.532   3.401 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5785  ZVQLA9RE        Sbend             2863.877   0.344 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5786  LTR107          Drift             2863.960   0.083 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5787  MQLA9RE         Monitor           2863.960   0.000 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5788  LTR106          Drift             2864.146   0.187 -0.3958324636043135  0.0011478455445059 -0.9183220258751952
   5789  QLA9REA         Quadrupole        2864.973   0.826 -0.3958322986311677  0.0011476660953039 -0.9183220972092943
   5790  LTR105          Drift             2865.160   0.187 -0.3958322986311677  0.0011476660953039 -0.9183220972092943
   5791  LTR104          Drift             2865.846   0.687 -0.3958322986311677  0.0011476660953039 -0.9183220972092943
   5792  BLA6RE          Sbend             2871.749   5.902  0.3806664808383076  0.0011476657024475 -0.9247116919503020
   5793  LTR103          Drift             2872.643   0.894  0.3806664808383076  0.0011476657024475 -0.9247116919503020
   5794  QLA8REA         Quadrupole        2873.200   0.557  0.3806663519092907  0.0011476682282097 -0.9247117450220294
   5795  LTR102          Drift             2873.371   0.172  0.3806663519092907  0.0011476682282097 -0.9247117450220294
   5796  MQLA8RE         Monitor           2873.371   0.000  0.3806663519092907  0.0011476682282097 -0.9247117450220294
   5797  LTR101          Drift             2874.094   0.723  0.3806663519092907  0.0011476682282097 -0.9247117450220294
   5798  BLA6RE          Sbend             2879.996   5.902  0.9276263748769537  0.0011476719480875 -0.3735076859740874
   5799  LTR100          Drift             2880.683   0.687  0.9276263748769537  0.0011476719480875 -0.3735076859740874
   5800  LTR099          Drift             2880.870   0.187  0.9276263748769537  0.0011476719480875 -0.3735076859740874
   5801  QLA7REA         Quadrupole        2881.696   0.826  0.9276263551951224  0.0011477314684356 -0.3735077346720751
   5802  LTR098          Drift             2881.883   0.187  0.9276263551951224  0.0011477314684356 -0.3735077346720751
   5803  MQLA7RE         Monitor           2881.883   0.000  0.9276263551951224  0.0011477314684356 -0.3735077346720751
   5804  LTR097          Drift             2881.966   0.083  0.9276263551951224  0.0011477314684356 -0.3735077346720751
   5805  ZVQLA7RE        Sbend             2882.310   0.344  0.9276263551951224  0.0011477314684356 -0.3735077346720751
   5806  LTR096          Drift             2889.416   7.105  0.9276263551951224  0.0011477314684356 -0.3735077346720751
   5807  QLA6REA         Quadrupole        2890.242   0.826  0.9276264921284658  0.0011477038836081 -0.3735073946754054
   5808  LTR095          Drift             2890.429   0.187  0.9276264921284658  0.0011477038836081 -0.3735073946754054
   5809  MQLA6RE         Monitor           2890.429   0.000  0.9276264921284658  0.0011477038836081 -0.3735073946754054
   5810  LTR094          Drift             2890.511   0.083  0.9276264921284658  0.0011477038836081 -0.3735073946754054
   5811  ZHQLA6RE        Sbend             2890.856   0.344  0.9276264921284658  0.0011477038836081 -0.3735073946754054
   5812  LTR093          Drift             2893.576   2.720  0.9276264921284658  0.0011477038836081 -0.3735073946754054
   5813  QLA5RE          Quadrupole        2894.402   0.826  0.9276264273878658  0.0011477279318268 -0.3735075553883689
   5814  LTR092          Drift             2894.589   0.187  0.9276264273878658  0.0011477279318268 -0.3735075553883689
   5815  MQLA5RE         Monitor           2894.589   0.000  0.9276264273878658  0.0011477279318268 -0.3735075553883689
   5816  LTR091          Drift             2894.672   0.083  0.9276264273878658  0.0011477279318268 -0.3735075553883689
   5817  ZVQLA5RE        Sbend             2895.016   0.344  0.9276264273878658  0.0011477279318268 -0.3735075553883689
   5818  LTR090          Drift             2898.147   3.131  0.9276264273878658  0.0011477279318268 -0.3735075553883689
   5819  BLA4RE          Sbend             2904.049   5.902  0.9280649632370642  0.0011477257168016  0.3724165768832566
   5820  LTR089          Drift             2905.033   0.984  0.9280649632370642  0.0011477257168016  0.3724165768832566
   5821  QLA4RE          Quadrupole        2905.590   0.557  0.9280648918238215  0.0011477164496266  0.3724167548741152
   5822  LTR088          Drift             2905.761   0.172  0.9280648918238215  0.0011477164496266  0.3724167548741152
   5823  MQLA4RE         Monitor           2905.761   0.000  0.9280648918238215  0.0011477164496266  0.3724167548741152
   5824  LTR087          Drift             2910.106   4.345  0.9280648918238215  0.0011477164496266  0.3724167548741152
   5825  ZVF4RE          Sbend             2910.356   0.250  0.9280648918238215  0.0011477164496266  0.3724167548741152
   5826  LTR125          Drift             2910.979   0.623  0.9280648918238215  0.0011477164496266  0.3724167548741152
   5827  QLA3RE          Quadrupole        2911.549   0.570  0.9280648749320783  0.0011477583340697  0.3724167968393598
   5828  LTR086          Drift             2911.714   0.165  0.9280648749320783  0.0011477583340697  0.3724167968393598
   5829  MQLA3RE         Monitor           2911.714   0.000  0.9280648749320783  0.0011477583340697  0.3724167968393598
   5830  LTR085          Drift             2911.797   0.083  0.9280648749320783  0.0011477583340697  0.3724167968393598
   5831  ZVQLA3RE        Sbend             2912.141   0.344  0.9280648749320783  0.0011477583340697  0.3724167968393598
   5832  LTR084          Drift             2913.293   1.151  0.9280648749320783  0.0011477583340697  0.3724167968393598
   5833  BLA2RE          Sbend             2917.254   3.961  0.5934515732433401  0.0011477595501255  0.8048688792983589
   5834  LTR083          Drift             2919.806   2.552  0.5934515732433401  0.0011477595501255  0.8048688792983589
   5835  ZHQLA2RE        Sbend             2920.150   0.344  0.5934515732433401  0.0011477595501255  0.8048688792983589
   5836  LTR082          Drift             2920.243   0.093  0.5934515732433401  0.0011477595501255  0.8048688792983589
   5837  QLA2RE          Quadrupole        2920.813   0.570  0.5934516767599629  0.0011477517455708  0.8048688029838749
   5838  LTR081          Drift             2920.978   0.165  0.5934516767599629  0.0011477517455708  0.8048688029838749
   5839  MQLA2RE         Monitor           2920.978   0.000  0.5934516767599629  0.0011477517455708  0.8048688029838749
   5840  LTR080#1        Drift             2921.068   0.090  0.5934516767599629  0.0011477517455708  0.8048688029838749
   5841  PSLXTRC_INVERSE Marker            2921.068   0.000  0.5934516767599629  0.0011477517455708  0.8048688029838749
   5842  LTR080#2        Drift             2921.158   0.090  0.5934516767599629  0.0011477517455708  0.8048688029838749
   5843  SLXTREA         Sad_Mult          2921.658   0.500  0.5934516767607836  0.0011477517454697  0.8048688029832700
   5844  LTR079          Drift             2922.603   0.945  0.5934516767607836  0.0011477517454697  0.8048688029832700
   5845  QLX2RE          Quadrupole        2923.173   0.570  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5846  LTR078          Drift             2923.338   0.165  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5847  MQLX2RE1        Monitor           2923.338   0.000  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5848  LTR077          Drift             2923.421   0.083  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5849  ZHQLX2RE1       Sbend             2923.765   0.344  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5850  LTR076          Drift             2925.058   1.293  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5851  ZVQLX3RE1       Sbend             2925.403   0.344  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5852  LTR075          Drift             2925.486   0.083  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5853  MQLX3RE1        Monitor           2925.486   0.000  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5854  LTR074          Drift             2925.651   0.165  0.5934522026964837  0.0011477288682199  0.8048684152289201
   5855  QLX3RE          Quadrupole        2926.221   0.570  0.5934518937996843  0.0011477568314197  0.8048686429472830
   5856  LTR073          Drift             2926.386   0.165  0.5934518937996843  0.0011477568314197  0.8048686429472830
   5857  LTR072          Drift             2926.935   0.549  0.5934518937996843  0.0011477568314197  0.8048686429472830
   5858  BLX1RE          Sbend             2930.896   3.961  0.8349448179583413  0.0011477562495065  0.5503324755273677
   5859  LTR071          Drift             2931.446   0.549  0.8349448179583413  0.0011477562495065  0.5503324755273677
   5860  LTR070          Drift             2931.611   0.165  0.8349448179583413  0.0011477562495065  0.5503324755273677
   5861  QLX4RE#1        Quadrupole        2931.896   0.285  0.8349448361616917  0.0011477636625593  0.5503324478944319
   5862  PQLX4RC         Marker            2931.896   0.000  0.8349448361616917  0.0011477636625593  0.5503324478944319
   5863  QLX4RE#2        Quadrupole        2932.181   0.285  0.8349448546431376  0.0011477709212264  0.5503324198398992
   5864  LTR069          Drift             2932.346   0.165  0.8349448546431376  0.0011477709212264  0.5503324198398992
   5865  MQLX4RE         Monitor           2932.346   0.000  0.8349448546431376  0.0011477709212264  0.5503324198398992
   5866  LTR068          Drift             2932.895   0.549  0.8349448546431376  0.0011477709212264  0.5503324198398992
   5867  BLX1RE          Sbend             2936.856   3.961  0.9736496586164980  0.0011477695735681  0.2280461025778783
   5868  LTR067          Drift             2937.406   0.549  0.9736496586164980  0.0011477695735681  0.2280461025778783
   5869  LTR066          Drift             2937.571   0.165  0.9736496586164980  0.0011477695735681  0.2280461025778783
   5870  QLX3RE          Quadrupole        2938.141   0.570  0.9736497374564719  0.0011477337125936  0.2280457661484767
   5871  LTR065          Drift             2938.306   0.165  0.9736497374564719  0.0011477337125936  0.2280457661484767
   5872  MQLX3RE2        Monitor           2938.306   0.000  0.9736497374564719  0.0011477337125936  0.2280457661484767
   5873  LTR064          Drift             2938.388   0.083  0.9736497374564719  0.0011477337125936  0.2280457661484767
   5874  ZVQLX3RE2       Sbend             2938.733   0.344  0.9736497374564719  0.0011477337125936  0.2280457661484767
   5875  LTR063          Drift             2940.026   1.293  0.9736497374564719  0.0011477337125936  0.2280457661484767
   5876  ZHQLX2RE2       Sbend             2940.370   0.344  0.9736497374564719  0.0011477337125936  0.2280457661484767
