  Index  name            key                      s       l              spin.x              spin.y              spin.z
      2  IP              Marker              0.000   0.000  0.0000050919455498  0.0000969764365270  0.9999999952848215
   1408  PIRR            Marker              4.000   0.000  0.0146566884952383  0.0012416500740588  0.9998918140416231
   1409  LTR001          Drift               4.100   0.100  0.0146566884952383  0.0012416500740588  0.9998918140416231
   1410  QKARE           Quadrupole          4.444   0.344  0.0146566879392282  0.0012416553721191  0.9998918140431942
   1411  LTR002          Drift               5.248   0.803  0.0146566879392282  0.0012416553721191  0.9998918140431942
   1412  ZHQLC2RE        Sbend               5.592   0.344  0.0146566879392282  0.0012416553721191  0.9998918140431942
   1413  LTR003          Drift               5.675   0.083  0.0146566879392282  0.0012416553721191  0.9998918140431942
   1414  MQLC2RE         Monitor             5.675   0.000  0.0146566879392282  0.0012416553721191  0.9998918140431942
   1415  LTR004          Drift               5.856   0.181  0.0146566879392282  0.0012416553721191  0.9998918140431942
   1416  QLC2RE          Quadrupole          6.394   0.538  0.0146568522503532  0.0012416712874613  0.9998918116148995
   1417  LTR005          Drift               6.655   0.261  0.0146568522503532  0.0012416712874613  0.9998918116148995
   1418  QKBRE           Quadrupole          6.999   0.344  0.0146568523384683  0.0012416703880732  0.9998918116147246
   1419  LTR006          Drift               8.187   1.188  0.0146568523384683  0.0012416703880732  0.9998918116147246
   1420  BLC2RE          Sbend               10.423   2.236  0.1085816099013705  0.0012416703899631  0.9940867629366510
   1421  LTR007          Drift               11.610   1.188  0.1085816099013705  0.0012416703899631  0.9940867629366510
   1422  QKCRE           Quadrupole          11.955   0.344  0.1085816099013705  0.0012416703899631  0.9940867629366510
   1423  LTR008          Drift               12.200   0.245  0.1085816099013705  0.0012416703899631  0.9940867629366510
   1424  QLC3RE          Quadrupole          12.770   0.570  0.1085810543684750  0.0012416397528562  0.9940868236542290
   1425  LTR009          Drift               12.935   0.165  0.1085810543684750  0.0012416397528562  0.9940868236542290
   1426  MQLC3RE         Monitor             12.935   0.000  0.1085810543684750  0.0012416397528562  0.9940868236542290
   1427  LTR010          Drift               14.143   1.208  0.1085810543684750  0.0012416397528562  0.9940868236542290
   1428  BC1RE           Sbend               14.504   0.361  0.1085810543720869  0.0061514148553975  0.9940685664111515
   1429  LTR011          Drift               14.826   0.322  0.1085810543720869  0.0061514148553975  0.9940685664111515
   1430  ZVF1RE          Sbend               15.076   0.250  0.1085810543720869  0.0061514148553975  0.9940685664111515
   1431  LTR012          Drift               15.326   0.250  0.1085810543720869  0.0061514148553975  0.9940685664111515
   1432  ZHF1RE          Sbend               15.576   0.250  0.1085810543720869  0.0061514148553975  0.9940685664111515
   1433  LTR013          Drift               17.693   2.117  0.1085810543720869  0.0061514148553975  0.9940685664111515
   1434  BC2RE           Sbend               18.054   0.361  0.1085810543726346  0.0034593105679496  0.9940815800535291
   1435  LTR014          Drift               18.290   0.237  0.1085810543726346  0.0034593105679496  0.9940815800535291
   1436  QLC5RE          Quadrupole          18.860   0.570  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1437  LTR015          Drift               19.025   0.165  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1438  MQLC5RE         Monitor             19.025   0.000  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1439  LTR016          Drift               20.025   1.000  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1440  ZVF2RE          Sbend               20.275   0.250  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1441  LTR017          Drift               20.525   0.250  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1442  ZHF2RE          Sbend               20.775   0.250  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1443  LTR018          Drift               21.574   0.799  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1444  ZHQLC6RE        Sbend               21.918   0.344  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1445  LTR019          Drift               22.011   0.093  0.1085804196136303  0.0034593325118270  0.9940816493101058
   1446  QLC6RE          Quadrupole          22.581   0.570  0.1085819574252677  0.0034592756864657  0.9940814815363085
   1447  LTR020          Drift               22.746   0.165  0.1085819574252677  0.0034592756864657  0.9940814815363085
   1448  MQLC6RE         Monitor             22.746   0.000  0.1085819574252677  0.0034592756864657  0.9940814815363085
   1449  LTR021          Drift               22.918   0.172  0.1085819574252677  0.0034592756864657  0.9940814815363085
   1450  BC3RE           Sbend               23.279   0.361  0.1085819574688520 -0.0086920734441410  0.9940494989543900
   1451  LTR022          Drift               25.839   2.560  0.1085819574688520 -0.0086920734441410  0.9940494989543900
   1452  BC4RE           Sbend               26.200   0.361  0.1085819574977642  0.0012416050773561  0.9940867250510820
   1453  LTR023          Drift               26.436   0.237  0.1085819574977642  0.0012416050773561  0.9940867250510820
   1454  QLC7RE          Quadrupole          27.006   0.570  0.1085787908770635  0.0012417706758877  0.9940870707223102
   1455  LTR024          Drift               27.171   0.165  0.1085787908770635  0.0012417706758877  0.9940870707223102
   1456  MQLC7RE         Monitor             27.171   0.000  0.1085787908770635  0.0012417706758877  0.9940870707223102
   1457  LTR025          Drift               27.401   0.230  0.1085787908770635  0.0012417706758877  0.9940870707223102
   1458  SLYTRE2A#2      Sad_Mult            27.701   0.300  0.1085787908447027  0.0012417706788917  0.9940870707258409
   1459  PSLYTRC         Marker              27.701   0.000  0.1085787908447027  0.0012417706788917  0.9940870707258409
   1460  SLYTRE2A#1      Sad_Mult            28.001   0.300  0.1085787908039135  0.0012417706820609  0.9940870707302922
   1461  LTR026          Drift               28.550   0.549  0.1085787908039135  0.0012417706820609  0.9940870707302922
   1462  QLY2RE          Quadrupole          29.012   0.462  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1463  LTR027          Drift               29.181   0.169  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1464  MQLY2RE2        Monitor             29.181   0.000  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1465  LTR028          Drift               29.264   0.083  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1466  ZVQLY2RE2       Sbend               29.609   0.344  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1467  LTR029          Drift               34.010   4.401  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1468  ZVQLY4RE2       Sbend               34.354   0.344  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1469  LTR030          Drift               34.437   0.083  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1470  MQLY4RE2        Monitor             34.437   0.000  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1471  LTR031          Drift               34.602   0.165  0.1085791056595921  0.0012417612408077  0.9940870363520410
   1472  QLY4RE          Quadrupole          35.172   0.570  0.1085865924263973  0.0012417138050822  0.9940862186410442
   1473  LTR032          Drift               35.337   0.165  0.1085865924263973  0.0012417138050822  0.9940862186410442
   1474  LTR033          Drift               36.086   0.749  0.1085865924263973  0.0012417138050822  0.9940862186410442
   1475  BLY2RE          Sbend               40.048   3.961  0.5125574410201619  0.0012417137562187  0.8586520411679059
   1476  LTR034          Drift               40.797   0.749  0.5125574410201619  0.0012417137562187  0.8586520411679059
   1477  MQLY5RE         Monitor             40.797   0.000  0.5125574410201619  0.0012417137562187  0.8586520411679059
   1478  LTR035          Drift               40.962   0.165  0.5125574410201619  0.0012417137562187  0.8586520411679059
   1479  QLY5RE#2        Quadrupole          41.247   0.285  0.5125558518893668  0.0012417279355813  0.8586529897494678
   1480  PQLY5RC         Marker              41.247   0.000  0.5125558518893668  0.0012417279355813  0.8586529897494678
   1481  QLY5RE#1        Quadrupole          41.532   0.285  0.5125542831863428  0.0012417407663113  0.8586539261350895
   1482  LTR036          Drift               41.697   0.165  0.5125542831863428  0.0012417407663113  0.8586539261350895
   1483  LTR037          Drift               42.446   0.749  0.5125542831863428  0.0012417407663113  0.8586539261350895
   1484  BLY2RE          Sbend               46.408   3.961  0.8234790148306821  0.0012417399685393  0.5673453711940726
   1485  LTR038          Drift               47.157   0.749  0.8234790148306821  0.0012417399685393  0.5673453711940726
   1486  LTR039          Drift               47.322   0.165  0.8234790148306821  0.0012417399685393  0.5673453711940726
   1487  QLY4RE          Quadrupole          47.892   0.570  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1488  LTR040          Drift               48.057   0.165  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1489  MQLY4RE1        Monitor             48.057   0.000  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1490  LTR041          Drift               48.140   0.083  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1491  ZVQLY4RE1       Sbend               48.484   0.344  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1492  LTR042          Drift               52.886   4.401  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1493  ZVQLY2RE1       Sbend               53.230   0.344  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1494  LTR043          Drift               53.313   0.083  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1495  MQLY2RE1        Monitor             53.313   0.000  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1496  LTR044          Drift               53.482   0.169  0.8234834084071383  0.0012417565035959  0.5673389940053021
   1497  QLY2RE          Quadrupole          53.944   0.462  0.8234835947802694  0.0012417617789242  0.5673387234760637
   1498  LTR045          Drift               54.493   0.549  0.8234835947802694  0.0012417617789242  0.5673387234760637
   1499  SLYTRE1A        Sad_Mult            55.093   0.600  0.8234835946933572  0.0012417617721495  0.5673387236022304
   1500  LTR046#2        Drift               55.208   0.115  0.8234835946933572  0.0012417617721495  0.5673387236022304
   1501  PSLYTRC_INVERSE Marker              55.208   0.000  0.8234835946933572  0.0012417617721495  0.5673387236022304
   1502  LTR046#1        Drift               55.323   0.115  0.8234835946933572  0.0012417617721495  0.5673387236022304
   1503  MQLB1RE         Monitor             55.323   0.000  0.8234835946933572  0.0012417617721495  0.5673387236022304
   1504  LTR047          Drift               55.488   0.165  0.8234835946933572  0.0012417617721495  0.5673387236022304
   1505  QLB1RE          Quadrupole          56.058   0.570  0.8234812128804346  0.0012416419951755  0.5673421810143543
   1506  LTR048          Drift               56.151   0.093  0.8234812128804346  0.0012416419951755  0.5673421810143543
   1507  ZVQLB1RE        Sbend               56.495   0.344  0.8234812128804346  0.0012416419951755  0.5673421810143543
   1508  LTR049          Drift               58.453   1.958  0.8234812128804346  0.0012416419951755  0.5673421810143543
   1509  MQLB4RE         Monitor             58.453   0.000  0.8234812128804346  0.0012416419951755  0.5673421810143543
   1510  LTR050          Drift               58.618   0.165  0.8234812128804346  0.0012416419951755  0.5673421810143543
   1511  QLB4RE          Quadrupole          59.188   0.570  0.8234836608928972  0.0012416933454789  0.5673386276643498
   1512  LTR051          Drift               59.333   0.145  0.8234836608928972  0.0012416933454789  0.5673386276643498
   1513  ZHQLB4RE        Sbend               59.678   0.344  0.8234836608928972  0.0012416933454789  0.5673386276643498
   1514  LTR052          Drift               62.727   3.049  0.8234836608928972  0.0012416933454789  0.5673386276643498
   1515  BLB2RE          Sbend               66.688   3.961  0.9736538385798341  0.0012416941465494  0.2280277632535143
   1516  LTR053          Drift               67.496   0.808  0.9736538385798341  0.0012416941465494  0.2280277632535143
   1517  ZVQLB7RE        Sbend               67.841   0.344  0.9736538385798341  0.0012416941465494  0.2280277632535143
   1518  LTR054          Drift               67.924   0.083  0.9736538385798341  0.0012416941465494  0.2280277632535143
   1519  MQLB7RE         Monitor             67.924   0.000  0.9736538385798341  0.0012416941465494  0.2280277632535143
   1520  LTR055          Drift               68.092   0.168  0.9736538385798341  0.0012416941465494  0.2280277632535143
   1521  QLB7RE          Quadrupole          69.215   1.123  0.9736544574322573  0.0012416974042708  0.2280251207868395
   1522  LTR126          Drift               69.724   0.508  0.9736544574322573  0.0012416974042708  0.2280251207868395
   1523  ZVF3RE          Sbend               69.974   0.250  0.9736544574322573  0.0012416974042708  0.2280251207868395
   1524  LTR056          Drift               72.329   2.356  0.9736544574322573  0.0012416974042708  0.2280251207868395
   1525  ZHQLB8RE        Sbend               72.674   0.344  0.9736544574322573  0.0012416974042708  0.2280251207868395
