 Index   name               key               s         l       spin.x          spin.y          spin.z
      0  BEGINNING          Beginning_Ele     0.000     ---     -0.0000044677    0.0000026796    1.0000000000
      1  IP                 Marker               0.000   0.000   -0.0000044677    0.0000026796    1.0000000000
      2  FBMBME             Marker               0.000   0.000   -0.0000044677    0.0000026796    1.0000000000
      3  FHBBKE             Sbend                0.000   0.000   -0.0000044677    0.0000026796    1.0000000000
      4  FVBBKE             Sbend                0.000   0.000   -0.0000044677    0.0000026796    1.0000000000
      5  ESLE0              Marker               0.000   0.000   -0.0000044677    0.0000026796    1.0000000000
      6  ECSLE5             Sad_Mult             0.010   0.010   -0.0000040628   -0.0008869579    0.9999996066
      7  ESLE10             Marker               0.010   0.000   -0.0000040628   -0.0008869579    0.9999996066
      8  ECSLE15            Sad_Mult             0.020   0.010   -0.0000028442   -0.0017763342    0.9999984223
      9  ESLE20             Marker               0.020   0.000   -0.0000028442   -0.0017763342    0.9999984223
     10  ECSLE25            Sad_Mult             0.030   0.010   -0.0000008125   -0.0026653765    0.9999964479
     11  ESLE30             Marker               0.030   0.000   -0.0000008125   -0.0026653765    0.9999964479
     12  ECSLE35            Sad_Mult             0.040   0.010    0.0000020315   -0.0035540123    0.9999936845
     13  ESLE40             Marker               0.040   0.000    0.0000020315   -0.0035540123    0.9999936845
     14  ECSLE45            Sad_Mult             0.050   0.010    0.0000056869   -0.0044421707    0.9999901335
     15  ESLE50             Marker               0.050   0.000    0.0000056869   -0.0044421707    0.9999901335
     16  ECSLE55            Sad_Mult             0.060   0.010    0.0000101525   -0.0053297798    0.9999857966
     17  ESLE60             Marker               0.060   0.000    0.0000101525   -0.0053297798    0.9999857966
     18  ECSLE65            Sad_Mult             0.070   0.010    0.0000154271   -0.0062167677    0.9999806756
     19  ESLE70             Marker               0.070   0.000    0.0000154271   -0.0062167677    0.9999806756
     20  ECSLE75            Sad_Mult             0.080   0.010    0.0000215093   -0.0071030603    0.9999747727
     21  ESLE80             Marker               0.080   0.000    0.0000215093   -0.0071030603    0.9999747727
