  Index  name               key               s        l        spin.x          spin.y          spin.z
      0  BEGINNING          Beginning_Ele     0.000     ---     0.0000050919    0.0000969764    0.9999999953
      1  END                Marker               0.000   0.000    0.0000050919    0.0000969764    0.9999999953
      2  IP                 Marker               0.000   0.000    0.0000050919    0.0000969764    0.9999999953
      3  ESRE0              Marker               0.000   0.000    0.0000050919    0.0000969764    0.9999999953
      4  ECSRE5             Sad_Mult             0.010   0.010    0.0000055600    0.0009867977    0.9999995131
      5  ESRE10             Marker               0.010   0.000    0.0000055600    0.0009867977    0.9999995131
      6  ECSRE15            Sad_Mult             0.020   0.010    0.0000068425    0.0018767406    0.9999982389
      7  ESRE20             Marker               0.020   0.000    0.0000068425    0.0018767406    0.9999982389
      8  ECSRE25            Sad_Mult             0.030   0.010    0.0000089398    0.0027667370    0.9999961725
      9  ESRE30             Marker               0.030   0.000    0.0000089398    0.0027667370    0.9999961725
     10  ECSRE35            Sad_Mult             0.040   0.010    0.0000118518    0.0036567185    0.9999933141
     11  ESRE40             Marker               0.040   0.000    0.0000118518    0.0036567185    0.9999933141
     12  ECSRE45            Sad_Mult             0.050   0.010    0.0000155783    0.0045466163    0.9999896640
     13  ESRE50             Marker               0.050   0.000    0.0000155783    0.0045466163    0.9999896640
     14  ECSRE55            Sad_Mult             0.060   0.010    0.0000201192    0.0054363610    0.9999852227
     15  ESRE60             Marker               0.060   0.000    0.0000201192    0.0054363610    0.9999852227
     16  ECSRE65            Sad_Mult             0.070   0.010    0.0000254739    0.0063258815    0.9999799911
     17  ESRE70             Marker               0.070   0.000    0.0000254739    0.0063258815    0.9999799911
     18  ECSRE75            Sad_Mult             0.080   0.010    0.0000316419    0.0072151065    0.9999739703
     19  ESRE80             Marker               0.080   0.000    0.0000316419    0.0072151065    0.9999739703
     20  ECSRE85            Sad_Mult             0.090   0.010    0.0000386224    0.0081039597    0.9999671616
     21  ESRE90             Marker               0.090   0.000    0.0000386224    0.0081039597    0.9999671616
     22  ECSRE95            Sad_Mult             0.100   0.010    0.0000464144    0.0089923588    0.9999595668
     23  ESRE100            Marker               0.100   0.000    0.0000464144    0.0089923588    0.9999595668
     24  ECSRE105           Sad_Mult             0.110   0.010    0.0000550167    0.0098802199    0.9999511879
     25  ESRE110            Marker               0.110   0.000    0.0000550167    0.0098802199    0.9999511879
     26  ECSRE115           Sad_Mult             0.120   0.010    0.0000644281    0.0107674559    0.9999420272
     27  ESRE120            Marker               0.120   0.000    0.0000644281    0.0107674559    0.9999420272
     28  ECSRE125           Sad_Mult             0.130   0.010    0.0000746470    0.0116539740    0.9999320874
     29  ESRE130            Marker               0.130   0.000    0.0000746470    0.0116539740    0.9999320874
     30  ECSRE135           Sad_Mult             0.140   0.010    0.0000856716    0.0125396750    0.9999213715
     31  ESRE140            Marker               0.140   0.000    0.0000856716    0.0125396750    0.9999213715
     32  ECSRE145           Sad_Mult             0.150   0.010    0.0000974999    0.0134244528    0.9999098832
     33  ESRE150            Marker               0.150   0.000    0.0000974999    0.0134244528    0.9999098832
     34  ECSRE155           Sad_Mult             0.160   0.010    0.0001101297    0.0143081955    0.9998976265
     35  ESRE160            Marker               0.160   0.000    0.0001101297    0.0143081955    0.9998976265
     36  ECSRE165           Sad_Mult             0.170   0.010    0.0001235584    0.0151907840    0.9998846057
     37  ESRE170            Marker               0.170   0.000    0.0001235584    0.0151907840    0.9998846057
     38  ECSRE175           Sad_Mult             0.180   0.010    0.0001377833    0.0160720936    0.9998708261
     39  ESRE180            Marker               0.180   0.000    0.0001377833    0.0160720936    0.9998708261
     40  ECSRE185           Sad_Mult             0.190   0.010    0.0001528012    0.0169519932    0.9998562930
     41  ESRE190            Marker               0.190   0.000    0.0001528012    0.0169519932    0.9998562930
     42  ECSRE195           Sad_Mult             0.200   0.010    0.0001686086    0.0178303403    0.9998410126
     43  ESRE200            Marker               0.200   0.000    0.0001686086    0.0178303403    0.9998410126
     44  ECSRE205           Sad_Mult             0.210   0.010    0.0001852018    0.0187069760    0.9998249921
     45  ESRE210            Marker               0.210   0.000    0.0001852018    0.0187069760    0.9998249921
     46  ECSRE215           Sad_Mult             0.220   0.010    0.0002025767    0.0195817238    0.9998082391
     47  ESRE220            Marker               0.220   0.000    0.0002025767    0.0195817238    0.9998082391
     48  ECSRE225           Sad_Mult             0.230   0.010    0.0002207285    0.0204543856    0.9997907628
     49  ESRE230            Marker               0.230   0.000    0.0002207285    0.0204543856    0.9997907628
     50  ECSRE235           Sad_Mult             0.240   0.010    0.0002396522    0.0213247408    0.9997725731
     51  ESRE240            Marker               0.240   0.000    0.0002396522    0.0213247408    0.9997725731
     52  ECSRE245           Sad_Mult             0.250   0.010    0.0002593421    0.0221925443    0.9997536815
     53  ESRE250            Marker               0.250   0.000    0.0002593421    0.0221925443    0.9997536815
     54  ECSRE255           Sad_Mult             0.260   0.010    0.0002797918    0.0230575251    0.9997341008
     55  ESRE260            Marker               0.260   0.000    0.0002797918    0.0230575251    0.9997341008
     56  ECSRE265           Sad_Mult             0.270   0.010    0.0003009944    0.0239193891    0.9997138452
     57  ESRE270            Marker               0.270   0.000    0.0003009944    0.0239193891    0.9997138452
     58  ECSRE275           Sad_Mult             0.280   0.010    0.0003229421    0.0247778135    0.9996929307
     59  ESRE280            Marker               0.280   0.000    0.0003229421    0.0247778135    0.9996929307
     60  ECSRE285           Sad_Mult             0.290   0.010    0.0003456266    0.0256324351    0.9996713754
     61  ESRE290            Marker               0.290   0.000    0.0003456266    0.0256324351    0.9996713754
     62  ECSRE295           Sad_Mult             0.300   0.010    0.0003690383    0.0264828419    0.9996491999
     63  ESRE300            Marker               0.300   0.000    0.0003690383    0.0264828419    0.9996491999
     64  ECSRE305           Sad_Mult             0.310   0.010    0.0003931668    0.0273285665    0.9996264277
     65  ESRE310            Marker               0.310   0.000    0.0003931668    0.0273285665    0.9996264277
     66  ECSRE315           Sad_Mult             0.320   0.010    0.0004180006    0.0281690801    0.9996030853
     67  ESRE320            Marker               0.320   0.000    0.0004180006    0.0281690801    0.9996030853
     68  ECSRE325           Sad_Mult             0.330   0.010    0.0004435266    0.0290037880    0.9995792032
     69  ESRE330            Marker               0.330   0.000    0.0004435266    0.0290037880    0.9995792032
     70  ECSRE335           Sad_Mult             0.340   0.010    0.0004697303    0.0298320194    0.9995548159
