 Index  name               key                s         l        spin.x          spin.y          spin.z
      0  BEGINNING          Beginning_Ele     0.000      ---     0.0033356989    0.9999649102    0.0076844948
      1  IP                 Marker               0.000   0.000    0.0033356989    0.9999649102    0.0076844948
      2  FBMBME             Marker               0.000   0.000    0.0033356989    0.9999649102    0.0076844948
      3  FHBBKE             Sbend                0.000   0.000    0.0033356989    0.9999649102    0.0076844948
      4  FVBBKE             Sbend                0.000   0.000    0.0033356989    0.9999649102    0.0076844948
      5  ESLE0              Marker               0.000   0.000    0.0033356989    0.9999649102    0.0076844948
      6  ECSLE5             Sad_Mult             0.010   0.010    0.0027131752    0.9999595610    0.0085740953
      7  ESLE10             Marker               0.010   0.000    0.0027131752    0.9999595610    0.0085740953
      8  ECSLE15            Sad_Mult             0.020   0.010    0.0020907672    0.9999530350    0.0094634301
      9  ESLE20             Marker               0.020   0.000    0.0020907672    0.9999530350    0.0094634301
     10  ECSLE25            Sad_Mult             0.030   0.010    0.0014684984    0.9999453339    0.0103524267
     11  ESLE30             Marker               0.030   0.000    0.0014684984    0.9999453339    0.0103524267
     12  ECSLE35            Sad_Mult             0.040   0.010    0.0008463926    0.9999364596    0.0112410132
     13  ESLE40             Marker               0.040   0.000    0.0008463926    0.9999364596    0.0112410132
     14  ECSLE45            Sad_Mult             0.050   0.010    0.0002244743    0.9999264143    0.0121291192
     15  ESLE50             Marker               0.050   0.000    0.0002244743    0.9999264143    0.0121291192
     16  ECSLE55            Sad_Mult             0.060   0.010   -0.0003972317    0.9999152006    0.0130166733
     17  ESLE60             Marker               0.060   0.000   -0.0003972317    0.9999152006    0.0130166733
     18  ECSLE65            Sad_Mult             0.070   0.010   -0.0010187002    0.9999028213    0.0139036040
     19  ESLE70             Marker               0.070   0.000   -0.0010187002    0.9999028213    0.0139036040
     20  ECSLE75            Sad_Mult             0.080   0.010   -0.0016399052    0.9998892796    0.0147898378
     21  ESLE80             Marker               0.080   0.000   -0.0016399052    0.9998892796    0.0147898378
     22  ECSLE85            Sad_Mult             0.090   0.010   -0.0022608199    0.9998745790    0.0156752966
     23  ESLE90             Marker               0.090   0.000   -0.0022608199    0.9998745790    0.0156752966
     24  ECSLE95            Sad_Mult             0.100   0.010   -0.0028814165    0.9998587236    0.0165598979
     25  ESLE100            Marker               0.100   0.000   -0.0028814165    0.9998587236    0.0165598979
     26  ECSLE105           Sad_Mult             0.110   0.010   -0.0035016663    0.9998417178    0.0174435563
     27  ESLE110            Marker               0.110   0.000   -0.0035016663    0.9998417178    0.0174435563
     28  ECSLE115           Sad_Mult             0.120   0.010   -0.0041215391    0.9998235664    0.0183261835
     29  ESLE120            Marker               0.120   0.000   -0.0041215391    0.9998235664    0.0183261835
     30  ECSLE125           Sad_Mult             0.130   0.010   -0.0047410035    0.9998042747    0.0192076878
     31  ESLE130            Marker               0.130   0.000   -0.0047410035    0.9998042747    0.0192076878
     32  ECSLE135           Sad_Mult             0.140   0.010   -0.0053600266    0.9997838484    0.0200879690
     33  ESLE140            Marker               0.140   0.000   -0.0053600266    0.9997838484    0.0200879690
     34  ECSLE145           Sad_Mult             0.150   0.010   -0.0059785737    0.9997622943    0.0209669166
     35  ESLE150            Marker               0.150   0.000   -0.0059785737    0.9997622943    0.0209669166
     36  ECSLE155           Sad_Mult             0.160   0.010   -0.0065966082    0.9997396194    0.0218444069
     37  ESLE160            Marker               0.160   0.000   -0.0065966082    0.9997396194    0.0218444069
     38  ECSLE165           Sad_Mult             0.170   0.010   -0.0072140912    0.9997158321    0.0227202984
     39  ESLE170            Marker               0.170   0.000   -0.0072140912    0.9997158321    0.0227202984
     40  ECSLE175           Sad_Mult             0.180   0.010   -0.0078309815    0.9996909415    0.0235944305
     41  ESLE180            Marker               0.180   0.000   -0.0078309815    0.9996909415    0.0235944305
     42  ECSLE185           Sad_Mult             0.190   0.010   -0.0084472354    0.9996649582    0.0244666208
     43  ESLE190            Marker               0.190   0.000   -0.0084472354    0.9996649582    0.0244666208
     44  ECSLE195           Sad_Mult             0.200   0.010   -0.0090628061    0.9996378938    0.0253366705
     45  ESLE200            Marker               0.200   0.000   -0.0090628061    0.9996378938    0.0253366705
     46  ECSLE205           Sad_Mult             0.210   0.010   -0.0096776440    0.9996097607    0.0262043782
     47  ESLE210            Marker               0.210   0.000   -0.0096776440    0.9996097607    0.0262043782
     48  ECSLE215           Sad_Mult             0.220   0.010   -0.0102916955    0.9995805724    0.0270695466
     49  ESLE220            Marker               0.220   0.000   -0.0102916955    0.9995805724    0.0270695466
     50  ECSLE225           Sad_Mult             0.230   0.010   -0.0109049033    0.9995503428    0.0279319745
     51  ESLE230            Marker               0.230   0.000   -0.0109049033    0.9995503428    0.0279319745
     52  ECSLE235           Sad_Mult             0.240   0.010   -0.0115172054    0.9995190878    0.0287914417
     53  ESLE240            Marker               0.240   0.000   -0.0115172054    0.9995190878    0.0287914417
     54  ECSLE245           Sad_Mult             0.250   0.010   -0.0121285354    0.9994868247    0.0296476965
     55  ESLE250            Marker               0.250   0.000   -0.0121285354    0.9994868247    0.0296476965
