  Index  name     key                      s       l              spin.x              spin.y              spin.z
   5321  B2EBLP6  Patch             2791.951   0.000 -0.0000448551008825  0.9999999958767463 -0.0000789590217734
   5322  B2EBLSQ6 Sol_Quad          2792.012   0.061  0.0067416124289465  0.9999772690404104 -0.0001098377875216
   5323  B2EBLP6  Patch             2792.012   0.000  0.0067416750701317  0.9999772690404104 -0.0001059232290780
   5324  B2EBLSQ6 Sol_Quad          2792.074   0.061  0.0135272407720585  0.9999084820031192 -0.0002034092219357
   5325  B2EBLP6  Patch             2792.074   0.000  0.0135273566018961  0.9999084820031192 -0.0001955545498022
   5326  B2EBLSQ6 Sol_Quad          2792.135   0.061  0.0203110928926498  0.9997936437926578 -0.0003596349612105
   5327  B2EBLP6  Patch             2792.135   0.000  0.0203112982918720  0.9997936437926578 -0.0003478411961943
   5328  B2EBLSQ6 Sol_Quad          2792.197   0.061  0.0270922778288285  0.9996327694839693 -0.0005784944714127
   5329  B2EBLP6  Patch             2792.197   0.000  0.0270926091663947  0.9996327694839693 -0.0005627631516648
   5330  B2EBLSQ6 Sol_Quad          2792.258   0.061  0.0338699049693456  0.9994258801971747 -0.0008599589927422
   5331  B2EBLP6  Patch             2792.258   0.000  0.0338703985976658  0.9994258801971747 -0.0008402921735546
   5332  B2EBLSQ6 Sol_Quad          2792.320   0.061  0.0406430841705359  0.9991730030947938 -0.0012039915434452
   5333  B2EBLP6  Patch             2792.320   0.000  0.0406437764206966  0.9991730030947938 -0.0011803917969813
   5334  B2EBLSQ6 Sol_Quad          2792.381   0.061  0.0474109258731968  0.9988741713781810 -0.0016105469248173
   5335  B2EBLP6  Patch             2792.381   0.000  0.0474118530501896  0.9988741713781810 -0.0015830173397735
   5336  B2EBLSQ6 Sol_Quad          2792.443   0.061  0.0541725412193840  0.9985294242831626 -0.0020795717272827
   5337  B2EBLP6  Patch             2792.443   0.000  0.0541737395973381  0.9985294242831626 -0.0020481159084826
   5338  B2EBLSQ6 Sol_Quad          2792.504   0.061  0.0609270421691122  0.9981388070748837 -0.0026110043375547
   5339  B2EBLP6  Patch             2792.504   0.000  0.0609285479865302  0.9981388070748837 -0.0025756264054761
   5340  B2EBLSQ6 Sol_Quad          2792.566   0.061  0.0676735416169445  0.9977023710418653 -0.0032047749468731
   5341  B2EBLP6  Patch             2792.566   0.000  0.0676753910719442  0.9977023710418653 -0.0031654795371059
   5342  B2EBLSQ6 Sol_Quad          2792.627   0.061  0.0744111535084578  0.9972201734892686 -0.0038608055603240
   5343  B2EBLP6  Patch             2792.627   0.000  0.0744133827540182  0.9972201734892686 -0.0038175978229620
   5344  B2EBLSQ6 Sol_Quad          2792.689   0.061  0.0811389929565643  0.9966922777313711 -0.0045790100072310
   5345  B2EBLP6  Patch             2792.689   0.000  0.0811416380957784  0.9966922777313711 -0.0045318956061951
   5346  B2EBLSQ6 Sol_Quad          2792.750   0.061  0.0878561763576774  0.9961187530832547 -0.0053592939526279
   5347  B2EBLP6  Patch             2792.750   0.000  0.0878592734390109  0.9961187530832547 -0.0053082790649225
   5348  B2EBLSQ6 Sol_Quad          2792.812   0.061  0.0945618215077034  0.9954996748517033 -0.0062015549097940
   5349  B2EBLP6  Patch             2792.812   0.000  0.0945654065202619  0.9954996748517033 -0.0061466462246952
   5350  B2EBLSQ6 Sol_Quad          2792.873   0.061  0.1012550477178495  0.9948351243253148 -0.0071056822538717
   5351  B2EBLP6  Patch             2792.873   0.000  0.1012591565866521  0.9948351243253148 -0.0070468869720492
   5352  B2EBLSQ6 Sol_Quad          2792.935   0.061  0.1079349759302267  0.9941251887638298 -0.0080715572365476
   5353  B2EBLP5  Patch             2792.935   0.000  0.1079396445114892  0.9941251887638298 -0.0080088830691193
   5354  B2EBLSQ5 Sol_Quad          2792.996   0.061  0.1146007353534881  0.9933699552553584 -0.0090996402351955
   5355  B2EBLP5  Patch             2792.996   0.000  0.1146059997708927  0.9933699552553584 -0.0090330953988294
   5356  B2EBLSQ5 Sol_Quad          2793.058   0.061  0.1212514386710382  0.9925695285738779 -0.0101891887231484
   5357  B2EBLP5  Patch             2793.058   0.000  0.1212573346172660  0.9925695285738779 -0.0101187819498612
   5358  B2EBLSQ5 Sol_Quad          2793.119   0.061  0.1278862125849403  0.9917240138682721 -0.0113400594216255
   5359  B2EBLP5  Patch             2793.119   0.000  0.1278927756696246  0.9917240138682721 -0.0112657999505412
   5360  B2EBLSQ5 Sol_Quad          2793.181   0.061  0.1345041858939541  0.9908335222114670 -0.0125521009805765
   5361  B2EBLP5  Patch             2793.181   0.000  0.1345114516389929  0.9908335222114670 -0.0124739985567108
