  Index  name     key                      s       l              spin.x              spin.y              spin.z
   1655  B2EBRP6  Patch              169.182   0.000 -0.3953276250245915  0.0012417865862456 -0.9185393442082334
   1656  B2EBRSQ6 Sol_Quad           169.244   0.061 -0.4042882831426455  0.0053952770928688 -0.9146156980386159
   1657  B2EBRP6  Patch              169.244   0.000 -0.4037571403073724  0.0053952770928688 -0.9148502952045789
   1658  B2EBRSQ6 Sol_Quad           169.305   0.061 -0.4126376178106681  0.0096358437244667 -0.9108443044139074
   1659  B2EBRP6  Patch              169.305   0.000 -0.4121086634402614  0.0096358437244667 -0.9110837502849006
   1660  B2EBRSQ6 Sol_Quad           169.367   0.061 -0.4209073031959084  0.0139626685086412 -0.9069961885280806
   1661  B2EBRP6  Patch              169.367   0.000 -0.4203805818528343  0.0139626685086412 -0.9072404368684138
   1662  B2EBRSQ6 Sol_Quad           169.428   0.061 -0.4290957425311141  0.0183749168178139 -0.9030720935637478
   1663  B2EBRP6  Patch              169.428   0.000 -0.4285712983465764  0.0183749168178139 -0.9033210972104374
   1664  B2EBRSQ6 Sol_Quad           169.490   0.061 -0.4372013547370415  0.0228717375304768 -0.8990727773870324
   1665  B2EBRP6  Patch              169.490   0.000 -0.4366792314024530  0.0228717375304768 -0.8993264882589079
   1666  B2EBRSQ6 Sol_Quad           169.551   0.061 -0.4452225747269335  0.0274522631956100 -0.8949990124011081
   1667  B2EBRP6  Patch              169.551   0.000 -0.4447028154854725  0.0274522631956100 -0.8952573815080961
   1668  B2EBRSQ6 Sol_Quad           169.613   0.061 -0.4531578537079119  0.0321156102002257 -0.8908515853969762
   1669  B2EBRP6  Patch              169.613   0.000 -0.4526405013461647  0.0321156102002257 -0.8911145628495586
   1670  B2EBRSQ6 Sol_Quad           169.674   0.061 -0.4610056594792473  0.0368608789400163 -0.8866312974015040
   1671  B2EBRP6  Patch              169.674   0.000 -0.4604907563189398  0.0368608789400163 -0.8868988324203504
   1672  B2EBRSQ6 Sol_Quad           169.736   0.061 -0.4687644767274334  0.0416871539930740 -0.8823389635227576
   1673  B2EBRP6  Patch              169.736   0.000 -0.4682520646172517  0.0416871539930740 -0.8826110044485282
   1674  B2EBRSQ6 Sol_Quad           169.797   0.061 -0.4764328073180104  0.0465935042966373 -0.8779754127926588
   1675  B2EBRP6  Patch              169.797   0.000 -0.4759229276255126  0.0465935042966373 -0.8782519070959772
   1676  B2EBRSQ6 Sol_Quad           169.859   0.061 -0.4840091705840991  0.0515789833268495 -0.8735414880069873
   1677  B2EBRP6  Patch              169.859   0.000 -0.4835018641877213  0.0515789833268495 -0.8738223822985810
   1678  B2EBRSQ6 Sol_Quad           169.920   0.061 -0.4914921036115663  0.0566426292814798 -0.8690380455627698
   1679  B2EBRP6  Patch              169.920   0.000 -0.4909874108927209  0.0566426292814798 -0.8693232856037757
