  Index  name           key                      s       l              spin.x              spin.y              spin.z
   4474  B2E            Sbend             2402.147   5.902 -0.9306569824866857  0.0011427811886594  0.3658910698554026
   4480  B2E            Sbend             2410.395   5.902 -0.8718428052335250  0.0011427635767413 -0.4897844597922076
   4510  B2E            Sbend             2435.307   5.902 -0.1716655198292422  0.0011427436377572 -0.9851546292023062
   4532  B2E            Sbend             2452.905   5.902  0.6547959617055236  0.0011427957661891 -0.7558048309927459
   4562  B2E            Sbend             2477.817   5.902  0.9995627748057215  0.0011427282197250  0.0295457847230248
   4568  B2E            Sbend             2486.065   5.902  0.6090105122932824  0.0011427277099935  0.7931613266477708
   4598  B2E            Sbend             2510.978   5.902 -0.2295547624489905  0.0011426957753302  0.9732950761631077
   4620  B2E            Sbend             2528.575   5.902 -0.8992501569336663  0.0011426707563800  0.4374332515462401
   4650  B2E            Sbend             2553.488   5.902 -0.9074204810318858  0.0011427127295494 -0.4202222802416308
   4656  B2E            Sbend             2561.736   5.902 -0.2480553048032239  0.0011427129012182 -0.9687451986803352
   4686  B2E            Sbend             2586.648   5.902  0.5937895007586086  0.0011428063632313 -0.8046196137197099
   4706  B2E            Sbend             2604.245   5.902  0.9988184918459416  0.0011427905396918 -0.0485830667658823
   4738  B2E            Sbend             2628.605   5.902  0.6690759062320317  0.0011427889878746  0.7431931954297697
   4770  B2E            Sbend             2653.835   5.902 -0.1528662355009474  0.0011427828606151  0.9882462284729953
   4802  B2E            Sbend             2678.194   5.902 -0.8623537121186039  0.0011427093117073  0.5063050161816386
   4822  B2E            Sbend             2695.791   5.902 -0.9374586509237174  0.0011427318565301 -0.3480947744109129
   4852  B2E            Sbend             2720.704   5.902 -0.3229307548886573  0.0011427340091546 -0.9464219047053077
   4858  B2E            Sbend             2728.952   5.902  0.5291581564839684  0.0011426874441792 -0.8485224450136186
   4888  B2E            Sbend             2753.865   5.902  0.9919767451527923  0.0011427398330442 -0.1264153124496494
   4908  B2E            Sbend             2771.462   5.902  0.7250568130671693  0.0011427343603943  0.6886881093666843
   4938  B2E            Sbend             2796.375   5.902 -0.0752445199378937  0.0011426800806004  0.9971644581018447
   4944  B2E            Sbend             2804.622   5.902 -0.8201928639401579  0.0011427261277983  0.5720859726637554
   4976  B2E            Sbend             2829.535   5.902 -0.9617739443677247  0.0011427334676091 -0.2738422430808795
   4996  B2E            Sbend             2847.132   5.902 -0.3958348549642124  0.0011427213582715 -0.9183210014931354
   5028  BLA6RE         Sbend             2871.749   5.902  0.3806639587730079  0.0011428446044891 -0.9247127361497021
   5034  BLA6RE         Sbend             2879.996   5.902  0.9276253886695873  0.0011428629428216 -0.3735101500091899
   5055  BLA4RE         Sbend             2904.049   5.902  0.9280659892080705  0.0011428061044106  0.3724140352745183


