  Index  name           key                      s       l              spin.x              spin.y              spin.z
   1596  BLA4RE         Sbend              118.168   5.902  0.9276254199066130  0.0011425280498790 -0.3735100734554896
   1617  BLA6RE         Sbend              142.221   5.902  0.3806639262819295  0.0011425834639333 -0.9247127498475640
   1623  BLA6RE         Sbend              150.468   5.902 -0.3958347789048106  0.0011425619226024 -0.9183210344763003
   1655  B2E            Sbend              175.085   5.902 -0.9617739075508220  0.0011424575064791 -0.2738423735386066
   1675  B2E            Sbend              192.682   5.902 -0.8201928762550615  0.0011424663459547  0.5720859555268657
   1707  B2E            Sbend              217.595   5.902 -0.0752445466017064  0.0011424551999282  0.9971644563475021
   1713  B2E            Sbend              225.842   5.902  0.7250567380327465  0.0011424175784878  0.6886881888891220
   1743  B2E            Sbend              250.755   5.902  0.9919767555344201  0.0011424657486504 -0.1264152334626124
   1763  B2E            Sbend              268.352   5.902  0.5291581801706047  0.0011424728214558 -0.8485224305310815
   1793  B2E            Sbend              293.265   5.902 -0.3229306906165053  0.0011424305213370 -0.9464219270021370
   1799  B2E            Sbend              301.513   5.902 -0.9374586116192658  0.0011424720685058 -0.3480948811149610
   1829  B2E            Sbend              326.425   5.902 -0.8623537246406914  0.0011424680505854  0.5063049953980983
   1849  B2E            Sbend              344.023   5.902 -0.1528662990107105  0.0011424461716652  0.9882462190383026
   1881  B2E            Sbend              368.382   5.902  0.6690758295197364  0.0011425088123475  0.7431932649224410
   1913  B2E            Sbend              393.612   5.902  0.9988184955044512  0.0011425132196314 -0.0485829980729363
   1945  B2E            Sbend              417.971   5.902  0.5937895156422988  0.0011425172752745 -0.8046196031464475
   1965  B2E            Sbend              435.569   5.902 -0.2480551972861097  0.0011425329050639 -0.9687452264232825
   1995  B2E            Sbend              460.481   5.902 -0.9074204508762123  0.0011424494619174 -0.4202223460750578
   2001  B2E            Sbend              468.729   5.902 -0.8992501709055050  0.0011424517988163  0.4374332233956338
   2031  B2E            Sbend              493.642   5.902 -0.2295548269861496  0.0011424120797222  0.9732950612748356
   2053  B2E            Sbend              511.239   5.902  0.6090104272950436  0.0011424286010843  0.7931613923425589
   2083  B2E            Sbend              536.152   5.902  0.9995627743138389  0.0011424605916754  0.0295458117134210
   2089  B2E            Sbend              544.400   5.902  0.6547959731094597  0.0011424594524265 -0.7558048216213114
   2119  B2E            Sbend              569.312   5.902 -0.1716653982996335  0.0011425235846066 -0.9851546506343427
   2141  B2E            Sbend              586.910   5.902 -0.8718427699026783  0.0011424789680748 -0.4897845233469711
   2171  B2E            Sbend              611.822   5.902 -0.9306569819805467  0.0011424917557739  0.3658910720466341
   2177  B2E            Sbend              620.070   5.902 -0.3048420239875971  0.0011425090767637  0.9524022443716424
